Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
solution/(size=20 #rep=2 #sing=5 shuffle=Blocks),5.222880786003276e-4,5.148680592750397e-4,5.297649299706184e-4,1.9807836256211602e-5,1.4754919480436712e-5,2.50863061974454e-5
solution/(size=20 #rep=2 #sing=10 shuffle=Blocks),3.8336996224655397e-4,3.788336226616622e-4,3.905514543397013e-4,1.4862367782396375e-5,1.0123731451206698e-5,2.4507246553727783e-5
solution/(size=20 #rep=5 #sing=5 shuffle=Blocks),3.777779115429011e-4,3.7328599007330763e-4,3.828181379170112e-4,1.3069961236156479e-5,9.92305775812909e-6,1.7598349738112453e-5
solution/(size=20 #rep=10 #sing=5 shuffle=Blocks),3.599146602053251e-4,3.564852406324136e-4,3.6383608686573794e-4,1.03910255178365e-5,8.14396858480582e-6,1.2693436826011212e-5
solution/(size=50 #rep=2 #sing=5 shuffle=Blocks),1.0229221390375283e-2,9.799060301235597e-3,1.0668005159409253e-2,9.628243152493303e-4,7.301792639270989e-4,1.3145220672556564e-3
solution/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.730445985102937e-3,3.6486852263218584e-3,3.8571312861567834e-3,2.892719167088752e-4,2.152836958594655e-4,3.82928469809457e-4
solution/(size=50 #rep=5 #sing=5 shuffle=Blocks),4.456434176667026e-3,4.317393430589683e-3,4.613436780581795e-3,4.040604769963467e-4,3.049717149329449e-4,5.474539434390471e-4
solution/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.917542855985378e-3,3.798067286626822e-3,4.13666306363448e-3,3.324248963717674e-4,2.56182147403532e-4,4.424986405540146e-4
head solutions/(size=20 #rep=2 #sing=5 shuffle=Blocks),5.136568182104947e-4,5.082147899230552e-4,5.19795666601023e-4,1.6315482834255402e-5,1.2867269408372478e-5,2.0927997291572595e-5
head solutions/(size=20 #rep=2 #sing=10 shuffle=Blocks),4.0899436387536705e-4,3.9592264086924173e-4,4.264554323484492e-4,3.783293743896597e-5,2.9521868341373585e-5,4.98540686978076e-5
head solutions/(size=20 #rep=5 #sing=5 shuffle=Blocks),4.0340263738301954e-4,3.920481607321552e-4,4.163862203118627e-4,3.590062822053501e-5,2.421853881127017e-5,5.2934772539660666e-5
head solutions/(size=20 #rep=10 #sing=5 shuffle=Blocks),3.7298417098602344e-4,3.6768569962262196e-4,3.78342844119917e-4,1.3854077236390533e-5,9.619468469973975e-6,1.9337664089375055e-5
head solutions/(size=50 #rep=2 #sing=5 shuffle=Blocks),1.0534368088289307e-2,1.0123756288487535e-2,1.135635593903255e-2,1.0266964291351962e-3,7.227534433843829e-4,1.5076605495427525e-3
head solutions/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.706626371990756e-3,3.6093686222738114e-3,3.861316773524947e-3,3.1945394549966926e-4,2.4349716412355203e-4,3.9823472441518167e-4
head solutions/(size=50 #rep=5 #sing=5 shuffle=Blocks),4.389849346900304e-3,4.223911058869724e-3,4.575002606353619e-3,4.108212075056919e-4,3.1239484921864274e-4,5.270370124099518e-4
head solutions/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.732744837563386e-3,3.673684672261311e-3,3.8323108519889774e-3,2.1017232528110983e-4,1.618740081058488e-4,3.0397062047492944e-4
